Tumor,n_AM_path,n_AM_ben,pct_path,events_path,events_ben,event_rate_path,event_rate_ben
Adrenocortical,3,3,50.0,1,2,33.33333333333333,66.66666666666666
Bladder,59,125,32.065217391304344,27,49,45.76271186440678,39.2
Breast,38,87,30.4,6,21,15.789473684210526,24.137931034482758
Cervical,23,45,33.82352941176471,6,12,26.08695652173913,26.666666666666668
Colorectal,57,67,45.96774193548387,13,14,22.807017543859647,20.8955223880597
Endometrial,101,82,55.19125683060109,11,8,10.891089108910892,9.75609756097561
Esophageal,15,18,45.45454545454545,4,10,26.666666666666668,55.55555555555556
Gastric,41,58,41.41414141414141,15,19,36.58536585365854,32.758620689655174
Glioblastoma,20,27,42.5531914893617,13,22,65.0,81.48148148148148
Head & Neck,29,96,23.200000000000003,11,52,37.93103448275862,54.166666666666664
Kidney ccRCC,16,31,34.04255319148936,3,8,18.75,25.806451612903224
Liver,10,43,18.867924528301888,5,16,50.0,37.2093023255814
Low Grade Glioma,31,27,53.44827586206896,9,10,29.03225806451613,37.03703703703704
Lung Adeno,53,102,34.193548387096776,20,38,37.735849056603776,37.254901960784316
Lung Squamous,44,93,32.11678832116788,18,36,40.909090909090914,38.70967741935484
Melanoma,72,129,35.82089552238806,33,63,45.83333333333333,48.837209302325576
Ovarian,23,42,35.38461538461539,14,26,60.86956521739131,61.904761904761905
Pancreas,6,7,46.15384615384615,3,6,50.0,85.71428571428571
Sarcoma,11,16,40.74074074074074,4,6,36.36363636363637,37.5
Uterine Carcinosarcoma,4,3,57.14285714285714,2,2,50.0,66.66666666666666
